评论ID,评论类型,用户昵称,用户ID,评论内容,点赞数,回复数,评论时间,IP位置
1334102266,热门评论,爱椿的湫_,431610503,毋庸置疑。天份1551%，承蒙关照,5620,184,2018-12-22 08:51:51,
5167378185,热门评论,-_-老鱼,371405587,许巍有《蓝莲花》高梨康治有《红莲》翁大涵有《白莲》马琪龙有《青莲》，最近又火了一个啥榴莲，我孙某人只有不要b莲,4344,77,2020-11-26 19:06:12,
1537418269,热门评论,青春额童话,1297504733,1599%，2019年最高飙升，薛之谦！,4003,87,2019-06-27 08:18:28,
1135678293,热门评论,夜夜太平长安,353851987,《大千世界》如果你听懂了，一定会为它鼓掌，一定会为它爸爸鼓掌[爱心],3403,61,2018-06-02 09:32:43,
3381861241,热门评论,一久久揪,1654120924,恭喜《天外来物》以1482%的飙升率空降榜一[强],3244,37,2020-07-18 08:09:22,
354523259,热门评论,苏黎世飞毯上的无敌战神,120497228,飙升榜最高纪录被一次又一次刷新.【火星人来过】1059％  【高尚】1592％   【动物世界】1709％  【暧昧】1798％让我们一起期待薛之谦的下一首新歌,2483,33,2017-04-12 09:23:47,
1135686137,热门评论,夜夜太平长安,353851987,《老古董》不是网易首发也不是独家 飙了1298% 《大千世界》网易独家首发 才飙了1316% 估计和MV出的早有关系  大家都直接看MV去了[大哭]毕竟大老虎打人了很有看头 我吧啦吧啦说这么多你们快去看吧[大哭],2133,7,2018-06-02 09:40:12,
628999500,热门评论,云村专业钓鱼,249110035,上线仅12个小时，不是网易首发，没有任何推荐，全靠歌迷口口相传，飙升584%，可以了。,2095,21,2017-12-01 09:27:15,
1139641498,热门评论,过眼星点,275436333,为大千世界继续打榜，也推荐大千世界的mv。这首歌的内涵和思辩需要自己去发现才是最好的，mv打榜四步骤点赞收藏评论分享！,1769,3,2018-06-06 08:27:55,
1334119054,热门评论,从此以后不听你了,360912595,祝福薛老师新歌天份1551%很好的成绩了，感谢聆听啊，承蒙关照[爱心],1582,0,2018-12-22 08:55:27,
1306873569,热门评论,挚爱xhq,470206744,第一第二都很好啊！绝代真的很好听，词曲都很许嵩！作为嵩哥十年的老粉，也非常支持福西西，他是很不错的新人！未来可期！,1520,3,2018-11-23 09:37:54,
1178268978,热门评论,Jump_Bro,310579932,作词：许嵩 作曲：许嵩 制作人：许嵩 和声／和声编写：许嵩 录音师：许嵩 混音师：许嵩 母带处理工程 ：许嵩 ——2018 许嵩《寻宝游戏》[爱心],1429,5,2018-07-13 09:57:41,
1135683203,热门评论,凤舞鸾翔,346478899,许嵩《大千世界》兼顾了旋律，歌词，寓意，格局等  是一个全方位的优秀作品  mv俱有电影质感，更是大片级别,1386,0,2018-06-02 09:33:19,
534492535,热门评论,taylor1016,2842294,霉霉以百分之一千五的飙升率荣升网易飙升榜和新歌榜第一名，新单在itunes75国冠军 real slay[强],1295,1,2017-08-26 09:44:09,
3428043065,热门评论,老薛的小调皮,1567038561,恭喜薛之谦最新单曲《不爱我》飙升1646% 已全网上线感谢聆听…… 薛之谦翻唱《守候》已网易云独家上线，感谢聆听……,1292,50,2020-08-21 08:11:51,
7673637828,普通评论,青睐睞-,1685297912,动态会员,0,0,2025-08-03 04:11:26,贵州
7673214472,普通评论,永远Lj_886,13434666174,[云沙发]笔记支持一下,1,0,2025-08-02 19:14:56,陕西
7673027566,普通评论,凛喃l,12708267436,承认你家哥哥是内娱万人嫌吧 都塌成啥样了 还有你能不能别跑出来恶心人 说白了不就是看了个耽改剧爱上了一个糊咖吗 有超话吗 砸钱了吗 其实认识不到四个月吧 正所谓直男演一部眈改剧全世界的腐癌女都吻了上来,2,0,2025-08-02 17:11:24,贵州
7673009020,普通评论,凛喃l,12708267436,确实南亭得🔑,1,0,2025-08-02 17:02:40,贵州
7672993311,普通评论,Crush_Jolin,1640674738,飞竹这就没词了？眼睛和大脑分手了吗[亲亲],0,0,2025-08-02 16:08:41,新疆
7672663117,普通评论,miss爽哈哈,4048609046,你听啦   听完走吧,0,0,2025-08-02 08:07:15,辽宁
7672630566,普通评论,碎星666,248454291,就我玩AI音乐吗[哀伤],0,0,2025-08-02 03:47:18,河北
7672621460,普通评论,Fourseven77_,4042748248,动态自取 最近的第五条是会员,0,0,2025-08-02 02:57:27,河南
7672593428,普通评论,SamJRm,406278736,难听,2,0,2025-08-02 01:52:14,广东
7672577923,普通评论,SamJRm,406278736,直接屏蔽拉黑他就行 那么难听 还天天推,2,0,2025-08-02 01:51:20,广东
7672548880,普通评论,雪碧马超,9117833407,countrygirlsmakedo好听,0,0,2025-08-02 00:56:29,陕西
7672553678,普通评论,雪碧马超,9117833407,countrygirlsmakedo好听[喜欢][喜欢][喜欢][喜欢],0,0,2025-08-02 00:55:33,陕西
7672404436,普通评论,123榆钱子,12782221361,1http:/$bQJva215efdd54$【復淛整段文案并咑閞「网易云音乐」，领免费会员】 黑胶邀请官 1***子 送你网易云音乐会员卡，领取享20+会员权益。http://163cn.tv/HTkBxr5,0,0,2025-08-01 22:41:09,浙江
7672124433,普通评论,keaiHD,401117188,1http:/$Zjiiqi15e7838a$【復淛整段文案并咑閞「网易云音乐」，领免费会员】 黑胶邀请官 k***D 送你网易云音乐会员卡，领取享20+会员权益。http://163cn.tv/HSmlSSZ,0,0,2025-08-01 16:57:59,北京
7672076785,普通评论,Leeky87,15391101,評論可以升級麽？,0,0,2025-08-01 16:18:01,中国香港
7671995420,普通评论,miss爽哈哈,4048609046,好的  你不是人我知道了,0,0,2025-08-01 15:14:00,辽宁
7671873175,普通评论,Curtain0712,447534359,1http:/$mmUfmq15e3b2b9$【復淛整段文案并咑閞「网易云音乐」，领免费会员】 黑胶邀请官 C***2 送你网易云音乐会员卡，领取享20+会员权益。https://163cn.tv/HRDDV0F,1,0,2025-08-01 14:27:39,广东
7671875890,普通评论,Crush_Jolin,1640674738,我也没让你欢迎啊[惊恐]不会说话别说，不会当人别当 （?),0,0,2025-08-01 14:23:00,新疆
7671822061,普通评论,miss爽哈哈,4048609046,在你自己家蹦跶   不欢迎你,0,0,2025-08-01 13:19:43,辽宁
7671734416,普通评论,七分满-77,619534902,我找到了，点进去随便一首，拉到最后点减少推荐然后可以选择屏蔽他。,1,0,2025-08-01 10:49:41,广东
7671730401,普通评论,七分满-77,619534902,可是它真的没有推了，而且还可以屏蔽他,0,0,2025-08-01 10:47:47,广东
7671699957,普通评论,anlalaa,1861908484,不是我怎么看不了音乐卡片了啊啊wyy给我改回来,0,0,2025-08-01 10:25:49,广东
7671713397,普通评论,灯火阑珊_2290,13213471368,T,0,0,2025-08-01 10:14:15,浙江
7671708483,普通评论,Woodstuck_520,9299276385,8.1建军节快乐，动态自取。,0,0,2025-08-01 10:10:52,江苏
7671627989,普通评论,柒耶z,1922316666,笔记自取,0,0,2025-08-01 08:15:12,湖南
7671561191,普通评论,慕凡Von,2073861799,🌷 笔记自取,0,0,2025-08-01 03:10:11,陕西
7671436277,普通评论,顾思然_,13822377880,🔮,0,0,2025-07-31 23:55:36,广东
7671421958,普通评论,cr_rr-,7922198851,王力宏无妄之灾,8,0,2025-07-31 23:34:15,山东
7671402620,普通评论,broccoli_26,1517002718,上个网呢,0,0,2025-07-31 23:13:08,山东
7671366865,普通评论,haoo0812,1496308162,动态自取,0,0,2025-07-31 22:49:28,河南
7671339867,普通评论,清清爱吃土豆,4027497800,明明很好听啊为什么要踩[泪目][泪目][泪目][泪目][泪目],0,0,2025-07-31 22:21:56,河南
7671311772,普通评论,Bee奶盖,305847112,就喜欢你们看不惯又干不掉的破防样子,1,0,2025-07-31 21:51:03,上海
7671284350,普通评论,Rison琦,4001904862,妮达姐的那首还可以,1,0,2025-07-31 21:01:46,浙江
7671177921,普通评论,5io-,1916161664,那你卸吧[呆],2,0,2025-07-31 19:00:22,江苏
7671082968,普通评论,低头踩水洼,8340374051,🔮🔮🔮🔮🔮🔮,1,0,2025-07-31 16:54:32,广东
7671081496,普通评论,曲尼美,1474681189,[爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心]梓渝加油  梓渝加油  梓渝加油[爱心][爱心][爱心][爱心][爱心][爱心],0,0,2025-07-31 16:31:31,广东
7671059184,普通评论,曲尼美,1474681189,梓渝加油 梓渝加油   梓渝加油,2,0,2025-07-31 16:30:50,广东
7671008251,普通评论,七分满-77,619534902,求教程怎么屏蔽什么梓渝这个人的推送,15,1,2025-07-31 15:13:50,广东
7671015828,普通评论,七分满-77,619534902,我好想拉黑这个梓渝，歌没听过，人不认识，天天推，再推卸载网易云,12,4,2025-07-31 15:12:13,广东
7671000872,普通评论,明天换你靠近我吧,3857715147,梓渝,1,0,2025-07-31 14:49:27,海南
7670998897,普通评论,明天换你靠近我吧,3857715147,比如呢,2,0,2025-07-31 14:48:29,海南
7670976719,普通评论,ivan小海,279576321,这个榜单是认真的吗。。。,5,0,2025-07-31 13:59:41,浙江
7670946016,普通评论,_estar_诺言,450135235,屁用没有，不火,0,0,2025-07-31 13:25:11,新疆
7670873213,普通评论,你说爱是什么zy,13581931930,2279,3,2,2025-07-31 11:45:20,浙江
7670896340,普通评论,HAO_XIA,1508189174,黑椒四张，动态自取,0,0,2025-07-31 11:38:52,江苏
7670871790,普通评论,anlalaa,1861908484,夸张…,1,0,2025-07-31 11:17:58,广东
7670796273,普通评论,疼了灵魂2008,3858974365,保持热爱，奔赴山海，忠于自己，热爱生活保持热爱，奔赴山海，忠于自己，热爱生活,0,0,2025-07-31 09:43:34,河北
7670794888,普通评论,miss爽哈哈,4048609046,你吃吧  别管我,1,0,2025-07-31 09:16:37,辽宁
7670485002,普通评论,找不到苹果,6347855799,动态自取,0,0,2025-07-30 22:23:50,上海
7670430611,普通评论,lizihaniiiiiiii,3221972693,吃点好的吧,8,0,2025-07-30 21:08:55,河北
7670084466,普通评论,FatBaby2012,4023777646,只能说，这个榜单的歌真难听,8,1,2025-07-30 12:45:01,广东
7669374245,普通评论,在一起526,372013995,生活还在继续，我还得快乐，这首歌曲不错,0,0,2025-07-29 23:17:21,云南
7669374233,普通评论,在一起526,372013995,生活还在继续，我还得快乐，这首歌曲不错,1,0,2025-07-29 23:16:55,云南
7669402312,普通评论,在一起526,372013995,生活还在继续，我还得快乐，这首歌曲不错,0,1,2025-07-29 23:16:40,云南
7669284898,普通评论,做丨只潇洒的吗喽,270586079,1http:/$fmmaIf15d19d37$【復淛整段文案并咑閞「网易云音乐」，领免费会员】 黑胶邀请官 做***喽 送你网易云音乐会员卡，领取享20+会员权益。http://163cn.tv/HLkrYdO,0,0,2025-07-29 21:43:47,江苏
7669085382,普通评论,癫癫池塘的棠,12108083156,飙升榜认真的吗,2,1,2025-07-29 16:59:07,湖南
7667847940,普通评论,依凡雪儿,1774514592,飙升榜怎么水了好多，不好听了,7,2,2025-07-28 10:59:02,广东
7667727948,普通评论,miss爽哈哈,4048609046,都来听梓渝的《萤火星球》🔮都来听梓渝的《萤火星球》🔮都来听梓渝的《萤火星球》🔮都来听梓渝的《萤火星球》🔮都来听梓渝的《萤火星球》🔮都来听梓渝的《萤火星球》🔮都来听梓渝的《萤火星球》🔮都来听梓渝的《萤火星球》🔮都来听梓渝的《萤火星球》🔮,4,10,2025-07-28 05:13:17,辽宁
7667687546,普通评论,何处染离笙,1330745819,萤火星球好听,1,0,2025-07-28 02:00:23,湖南
7667657784,普通评论,草甸首席酸橙,5079909256,萤火星球🔮🔮🔮,2,0,2025-07-28 01:20:24,贵州
7667652912,普通评论,草甸首席酸橙,5079909256,萤火星球！,1,0,2025-07-28 01:20:07,贵州
