rank,id,name,artists,artists_str,album_name,album_id,duration,duration_ms,popularity,mvid,fee,status,track_number,version,copyright,publishTime
1,2732251092,高楼Freestyle,['加木'],加木,高楼Freestyle,280199907,02:52,172800,5.0,0,8,0,1,41,0,0
2,2731411097,一秒,['永彬Ryan.B'],永彬Ryan.B,一秒,280048140,04:14,254902,5.0,0,0,0,1,37,0,1754064000000
3,2158435167,好困好累好想你^>៸៸៸៸<^,['ZzZ'],ZzZ,好困好累好想你,196776555,02:12,132000,100.0,0,8,0,1,45,0,0
4,2729422409,无间渡,['胡彦斌'],胡彦斌,无间渡,279439892,04:01,241497,5.0,22774593,8,0,1,39,0,1754064000000
5,2634054273,†KRUSHDAFIGHT!†,['N2UtheHartlocker'],N2UtheHartlocker,†KRUSHDAFIGHT!†,249882023,02:18,138240,100.0,0,8,0,1,43,0,0
6,1357116203,Kill This Love,['BLACKPINK'],BLACKPINK,KILL THIS LOVE,78356262,03:09,189052,100.0,14541506,1,0,1,52,0,1554393600000
7,2726980628,黑金鱼,['毕雯珺'],毕雯珺,《深情眼》影视原声带,278709175,03:12,192428,100.0,0,8,0,5,38,0,1753027200000
8,2731338648,天秤,['李昊'],李昊,天秤,280023515,03:42,222425,5.0,0,8,0,1,38,0,0
9,2731077753,你可以慢点走,"['SHarK', 'Rapeter', 'KITO']",SHarK / Rapeter / KITO,你可以慢点走,279930283,03:19,199200,5.0,0,8,0,1,38,0,0
10,2732243676,情绪笔触,['某幻君'],某幻君,情绪笔触,280196106,03:30,210461,5.0,0,8,0,1,38,0,0
11,2731836395,爱我还是他 (live),['黄丽玲'],黄丽玲,歌手2025 第12期,280181322,04:33,273042,5.0,0,8,0,1,37,0,0
12,167799,怎么说我不爱你,['萧敬腾'],萧敬腾,狂想曲,16944,04:35,275293,100.0,5364760,1,0,6,92,1,1309363200000
13,2731338328,被大雨冲刷的城市,['陈楚生'],陈楚生,被大雨冲刷的城市,280022718,03:22,202435,5.0,0,8,0,1,38,0,0
14,2720075375,气场全开 （Full swing）,['YPD'],YPD,气场全开,276467568,02:21,141030,100.0,0,8,0,1,40,0,0
15,2730277172,紫钗缘,['张云雷'],张云雷,紫钗缘,279675739,03:29,209062,100.0,0,8,0,1,38,0,1753891200000
16,2731840057,千年之恋 (live),['李佳薇'],李佳薇,歌手2025 第12期,280181322,04:20,260773,5.0,0,8,0,5,38,0,0
17,2730639960,いますぐ輪廻,['なきそ'],なきそ,いますぐ輪廻,279786068,02:02,122482,5.0,0,8,0,1,38,1,1754064000000
18,2724821379,猜,['一点一点猜'],一点一点猜,猜,278026797,02:48,168618,100.0,0,8,0,1,38,0,0
19,2726652627,蓝2025,['石白其'],石白其,蓝2025,278599814,03:40,220999,100.0,0,8,0,1,42,0,1752940800000
20,2600493765,恋人,['李荣浩'],李荣浩,黑马,250748750,04:35,275912,100.0,22596453,1,0,5,42,0,0
21,2731345249,Undaunted,"['塞壬唱片-MSR', 'KAMIA']",塞壬唱片-MSR / KAMIA,Undaunted,280025520,03:04,184615,5.0,0,8,0,1,38,0,1754064000000
22,349981,半点心,['草蜢'],草蜢,Grasshopper Ⅳ,34497,03:52,232106,100.0,0,1,0,6,63,1,1230739200000
23,2732263826,3,['绵阳STAR'],绵阳STAR,3,280202644,02:29,149589,5.0,0,8,0,1,38,0,1754064000000
24,2731858453,这样很好 (live),['林志炫'],林志炫,歌手2025 第12期,280181322,04:38,278912,5.0,0,8,0,3,38,0,0
25,2731349504,云歇谣,['封茗囧菌'],封茗囧菌,云歇谣,280027402,03:10,190000,5.0,0,0,0,1,37,0,1754064000000
26,2731858460,Teeth (live),['Grace Kinstler'],Grace Kinstler,歌手2025 第12期,280181322,03:34,214090,5.0,0,8,0,4,38,0,0
27,2729766169,PRESSURE(PHONK),['GTR7'],GTR7,PRESSURE,279408059,02:14,134000,100.0,0,8,0,3,37,0,0
28,2731858509,冷雨夜 (live),['卫兰'],卫兰,歌手2025 第12期,280181322,04:47,287445,5.0,0,8,0,2,37,0,0
29,2714037070,ECHO! (Prod. WOOZI),['호시X우지 (SEVENTEEN)'],호시X우지 (SEVENTEEN),월드 오브 스트릿 우먼 파이터(WSWF) Original Vol.2 (계급미션),274728225,02:33,153417,100.0,0,1,0,1,43,0,1749484800000
30,2099778087,发迹,['Top Barry'],Top Barry,发迹,179034955,02:42,162304,100.0,0,8,0,1,43,0,0
31,2694845967,她需要,['48000hz'],48000hz,她需要,268982506,02:26,146000,100.0,0,8,0,1,43,0,0
32,2730328488,褪黑素2.0,['江皓南'],江皓南,褪黑素2.0,279690346,04:51,291320,100.0,0,8,0,1,38,0,0
33,2732364003,秋 你最近怎样,"['李幼白', 'Zy']",李幼白 / Zy,秋 你最近怎样,280232005,02:08,128017,5.0,0,8,0,1,39,0,0
34,2726327524,百合花般的她,['Zzh'],Zzh,百合花般的她,278489770,02:13,133057,100.0,0,8,0,1,38,0,0
35,2715085544,等月光来,['Max李玄'],Max李玄,等月光来,275053805,02:46,166263,90.0,0,8,0,1,37,0,1749830400000
36,1468114208,突然想起你,['萧亚轩'],萧亚轩,上一首情歌 (国语精选),93427116,03:53,233840,100.0,0,1,0,14,47,1,1596643200000
37,2732128225,纸光年,['CMJ'],CMJ,纸光年,280193522,02:26,146666,5.0,0,8,0,1,37,0,0
38,2731344832,能失忆该多好,"['六月', '听潮阁']",六月 / 听潮阁,能失忆该多好,280024737,03:25,205846,5.0,0,8,0,1,38,0,1754064000000
39,2721417116,HOT SAUCE,['BABYMONSTER'],BABYMONSTER,HOT SAUCE,276926812,02:27,147807,100.0,22766804,1,0,1,47,0,1751299200000
40,2730321017,歌顿花园,['Gordon Flanders'],Gordon Flanders,歌顿花园,279688357,03:58,238506,100.0,0,8,0,1,38,1,1753891200000
41,2732266031,到手 (Live),"['TizzyT', '翁杰Winjay', 'Vinz-T']",TizzyT / 翁杰Winjay / Vinz-T,新说唱2025 第九期,279772390,04:09,249473,5.0,0,8,0,1,38,0,0
42,28765196,你是另一个我 (《神犬奇兵》电视剧片尾曲),['黄征'],黄征,神犬奇兵 电视剧原声带,2888188,03:49,229687,100.0,286113,8,0,2,723,1,1404403200000
43,2731076611,耳骨钉,['猫头英'],猫头英,耳骨钉,279928066,02:04,124390,100.0,0,8,0,1,37,0,0
44,1888076998,我只在乎你,['邓丽君'],邓丽君,温情如水国语集,134961153,04:16,256133,100.0,0,1,0,3,44,1,1634572800000
45,238945,蝶恋,"['黄韵玲', '林俊逸']",黄韵玲 / 林俊逸,在我们之间的事,23952,03:58,238840,85.0,0,1,0,1,48,2,1242662400000
46,2725287357,MANGATA(绝对压制),['GTR7'],GTR7,MANGATA,277392600,02:46,166920,100.0,0,8,0,4,38,0,0
47,2732280172,装痛,"['Six Teen', 'XZ79']",Six Teen / XZ79,阴雨天,280206332,02:05,125291,5.0,0,8,0,2,38,1,1754064000000
48,2637117813,SPOOKY,"['fennecxx', 'DJ Alex']",fennecxx / DJ Alex,SPOOKY,250902910,01:36,96923,100.0,0,8,0,1,38,1,1729699200000
49,2728989491,水象天蝎,"['元', '鱼骨妹']",元 / 鱼骨妹,水象天蝎,279305020,02:52,172890,95.0,0,8,0,0,40,0,1753372800000
50,2728528319,我发誓我要美丽,['贺予彤'],贺予彤,我发誓我要美丽,279191551,03:06,186428,100.0,0,8,0,1,38,0,0
51,2731027993,幻律音潮,['无期迷途'],无期迷途,幻律音潮,279914547,03:14,194470,5.0,0,0,0,1,37,0,0
52,211277,渡口,['蔡琴'],蔡琴,民歌蔡琴,21430,03:47,227333,100.0,0,1,0,8,89,1,820771200000
53,2125814176,Back Right With You,['Shade Jenifer'],Shade Jenifer,Back Right With You,185724433,04:08,248181,100.0,0,8,0,1,38,1,1707840000000
54,1954913642,如约而至,['许嵩'],许嵩,如约而至,146316538,04:15,255708,100.0,0,1,0,1,46,1,1528732800000
55,2166086571,多幸运,['沐瑾瑾'],沐瑾瑾,沐瑾昔年,194292561,04:09,249480,100.0,0,8,0,54,42,0,0
56,1492864083,DAY1,['艾志恒Asen'],艾志恒Asen,DAY1,97783183,02:54,174375,100.0,14224592,8,0,1,57,0,1604505600000
57,2731859273,Sweet Child O'Mine (live),['Alexia Evellyn'],Alexia Evellyn,歌手2025 第12期,280181322,04:25,265173,5.0,0,8,0,6,37,0,0
58,1360465542,天黑黑,['孙燕姿'],孙燕姿,My Story 2006 新歌+精选,78686199,03:53,233733,100.0,0,1,0,3,39,1,1179158400000
59,2664041539,Into Wonderland,['少少甜'],少少甜,Into Wonderland,259068986,01:59,119240,65.0,0,8,0,1,36,0,0
60,187338,爱如潮水,['张信哲'],张信哲,心事,19000,04:34,274840,100.0,5361650,1,0,2,58,1,736185600000
61,2709626091,Vem Vem,"['Jmilton', 'MC Xangai']",Jmilton / MC Xangai,Vem Vem,273418503,01:23,83183,100.0,0,8,0,1,40,1,1748534400000
62,2732250083,离别日记,['王子明'],王子明,离别日记,280200426,02:54,174433,5.0,0,8,0,1,37,0,0
63,2709420798,蹦蹦跳跳,"['李昕融', '付佳钰']",李昕融 / 付佳钰,蹦蹦跳跳,273354389,02:20,140406,100.0,0,8,0,1,39,1,1748534400000
64,2084275989,Tuca Tuca (TOKYOSLEEP Remix),"['Fyex', 'Nulteex', 'TOKYOSLEEP', 'MC Roba Cena']",Fyex / Nulteex / TOKYOSLEEP / MC Roba Cena,Tuca Tuca (TOKYOSLEEP Remix),175314453,01:36,96000,100.0,0,8,0,1,38,1,1696521600000
65,2731409390,离开我的依赖,['en（王翊恩）'],en（王翊恩）,离开我的依赖,280045972,02:59,179076,5.0,0,8,0,1,38,1,1754064000000
66,2728912643,风夏,['不是花火呀'],不是花火呀,风夏,279290937,02:30,150872,100.0,0,8,0,1,38,0,0
67,2653100120,祂的谎言,['张顾卫'],张顾卫,灵笼第一季 终章原声音乐,255818324,03:22,202883,95.0,0,8,0,1,37,0,1622476800000
68,2732246397,又一季夏,"['WiFi歪歪', '多喝芬达']",WiFi歪歪 / 多喝芬达,又一季夏,280198228,02:40,160124,5.0,0,8,0,1,37,0,0
69,2732266040,前进Marching (Live),"['万妮达Vinida Weng', 'KITO', 'SHarK']",万妮达Vinida Weng / KITO / SHarK,新说唱2025 第九期,279772390,03:40,220058,5.0,0,8,0,2,38,0,0
70,2697826527,笨蛋美女日记,['Delos'],Delos,笨蛋美女日记,269820350,02:07,127680,100.0,0,8,0,1,40,0,0
71,2120338639,Rally House,['Prod. DTM'],Prod. DTM,Rally House,184026719,01:36,96396,100.0,0,8,0,1,43,1,1705939200000
72,1368521273,寂寞寂寞不好,['曹格'],曹格,曹小格 / Super Junior,79483110,04:04,244304,100.0,10927503,1,0,2,44,0,0
